# ----------------------------------------
# Traffic acquisition: Session Updated Channel Group
# Account: MyPlace GA4
# Property: My Place Hotels of America (GA4)
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20250331
Session Updated Channel Group,Date,Active users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per active user,Events per session,Engagement rate,Event count,Key events,Session key event rate,Total revenue
Property WiFi    ,20250215,1724,1851,176,3.517558076715289,0.10208816705336426,3.0723933009184226,0.09508373851971907,5687,0,0,0
Property WiFi    ,20250321,1686,1833,172,3.1227495908346974,0.10201660735468565,3.078014184397163,0.09383524277141299,5642,0,0,0
Property WiFi    ,20250328,1683,1824,167,3.214364035087719,0.0992275698158051,3.0794956140350878,0.09155701754385964,5617,0,0,0
Property WiFi    ,20250314,1668,1797,151,3.6048970506399556,0.09052757793764989,3.0851419031719534,0.08402893711741792,5544,0,0,0
Property WiFi    ,20250214,1666,1765,160,3.956373937677054,0.09603841536614646,3.137110481586402,0.0906515580736544,5537,0,0,0
Property WiFi    ,20250322,1654,1762,143,135.71906923950056,0.08645707376058041,3.065266742338252,0.0811577752553916,5401,0,0,0
Property WiFi    ,20250329,1639,1770,134,2.637853107344633,0.08175716900549115,3.0548022598870057,0.07570621468926554,5407,0,0,0
Property WiFi    ,20250307,1579,1724,142,4.199535962877031,0.08993033565547814,3.0377030162412995,0.08236658932714618,5237,1,0.000580046403712297,230.98
Property WiFi    ,20250320,1541,1662,160,3.778580024067389,0.10382868267358858,3.089651022864019,0.09626955475330927,5135,0,0,0
Property WiFi    ,20250228,1522,1633,134,2.3135333741579913,0.08804204993429698,3.061849357011635,0.08205756276791182,5000,1,0.000612369871402327,383.55
Property WiFi    ,20250315,1521,1619,139,3.567016676961087,0.09138724523339908,3.1192093885114267,0.08585546633724521,5050,0,0,0
Property WiFi    ,20250327,1509,1655,151,2.5897280966767373,0.10006626905235255,3.078549848942598,0.09123867069486405,5095,0,0,0
Property WiFi    ,20250319,1493,1656,148,3.3393719806763285,0.09912926992632284,3.0483091787439616,0.0893719806763285,5048,0,0,0
Property WiFi    ,20250301,1469,1576,142,3.814720812182741,0.0966643975493533,3.1230964467005076,0.0901015228426396,4922,0,0,0
Property WiFi    ,20250308,1466,1598,121,2.746558197747184,0.082537517053206,3.039424280350438,0.07571964956195244,4857,0,0,0
Property WiFi    ,20250331,1435,1582,150,3.2054361567635903,0.10452961672473868,3.0556257901390644,0.09481668773704172,4834,1,0.0006321112515802782,327
Property WiFi    ,20250221,1433,1555,146,3.442443729903537,0.10188415910676901,3.122186495176849,0.09389067524115756,4855,1,0.0006430868167202572,211
Property WiFi    ,20250216,1427,1533,136,7.136986301369863,0.09530483531885074,3.080234833659491,0.08871493803000652,4722,1,0.0006523157208088715,109
Property WiFi    ,20250313,1409,1532,138,3.200391644908616,0.09794180269694819,3.1050913838120104,0.09007832898172324,4757,0,0,0
Property WiFi    ,20250326,1408,1541,160,5.031797534068787,0.11363636363636363,3.057754704737184,0.10382868267358858,4712,0,0,0
Property WiFi    ,20250318,1379,1529,143,3.692609548724657,0.10369833212472807,3.0843688685415303,0.09352517985611511,4716,0,0,0
Property WiFi    ,20250310,1372,1501,154,4.448367754830113,0.11224489795918367,3.0872751499000666,0.10259826782145237,4634,2,0.0013324450366422385,536.51
Property WiFi    ,20250306,1367,1511,136,3.315023163467902,0.09948792977322604,3.054268696227664,0.0900066181336863,4615,0,0,0
Property WiFi    ,20250317,1364,1478,119,2.4648173207036534,0.0872434017595308,3.0520974289580516,0.08051420838971583,4511,0,0,0
Property WiFi    ,20250222,1362,1457,121,3.501029512697323,0.08883994126284875,3.0610844200411806,0.08304735758407687,4460,0,0,0
Property WiFi    ,20250118,1346,1437,125,3.222686151704941,0.09286775631500743,3.139874739039666,0.08698677800974251,4512,0,0,0
Property WiFi    ,20250131,1335,1458,151,5.332647462277092,0.11310861423220973,3.05761316872428,0.10356652949245541,4458,0,0,0
Property WiFi    ,20250316,1328,1441,122,3.7626648160999308,0.09186746987951808,3.0617626648161,0.08466342817487855,4412,0,0,0
Property WiFi    ,20250325,1328,1500,164,4.187333333333333,0.12349397590361445,3.062,0.10933333333333334,4593,0,0,0
Property WiFi    ,20250226,1327,1476,132,3.105013550135501,0.09947249434815374,3.035230352303523,0.08943089430894309,4480,0,0,0
Property WiFi    ,20250227,1325,1462,129,3.199042407660739,0.09735849056603774,3.0786593707250343,0.08823529411764706,4501,0,0,0
Property WiFi    ,20250324,1317,1456,154,3.2616758241758244,0.11693242217160213,3.087912087912088,0.10576923076923077,4496,0,0,0
Property WiFi    ,20250220,1316,1434,139,4.746164574616458,0.10562310030395136,3.0557880055788007,0.09693165969316597,4382,0,0,0
Referral,20250302,1314,1329,43,2.788562829194883,0.03272450532724505,3.2151993980436417,0.03235515425131678,4273,1,0.0007524454477050414,93.95
Property WiFi    ,20250225,1309,1455,172,3.7738831615120274,0.13139801375095492,3.056357388316151,0.11821305841924398,4447,0,0,0
Property WiFi    ,20250311,1289,1434,135,4.291492329149233,0.10473235065942592,3.064853556485356,0.09414225941422594,4395,1,0.000697350069735007,139
Property WiFi    ,20250217,1288,1421,126,3.605911330049261,0.09782608695652174,3.028149190710767,0.08866995073891626,4303,0,0,0
Property WiFi    ,20250304,1267,1399,132,2.7719799857040743,0.10418310970797158,3.026447462473195,0.0943531093638313,4234,0,0,0
Property WiFi    ,20250305,1262,1385,186,6.505415162454874,0.1473851030110935,3.1299638989169676,0.13429602888086642,4335,2,0.0007220216606498195,338.98
Property WiFi    ,20250330,1261,1390,118,2.414388489208633,0.09357652656621729,3.0446043165467627,0.08489208633093526,4232,0,0,0
Property WiFi    ,20250312,1250,1354,132,3.463810930576071,0.1056,3.0923190546528803,0.09748892171344166,4187,0,0,0
Property WiFi    ,20250117,1243,1343,101,4.2583767684288905,0.08125502815768303,3.0402084884586746,0.07520476545048399,4083,0,0,0
