# ----------------------------------------
# Traffic acquisition: Session Updated Channel Group
# Account: MyPlace GA4
# Property: My Place Hotels of America (GA4)
# ----------------------------------------
# 
# All Users
# Start date: 20260401
# End date: 20260430
Session Updated Channel Group,Date,Active users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per active user,Events per session,Engagement rate,Event count,Key events,Session key event rate,Total revenue
Referral,20260401,2444,2475,65,2.49010101010101,0.026595744680851064,3.277979797979798,0.026262626262626262,8113,10,0.0032323232323232323,2927.13
Referral,20260410,2103,2127,74,3.6591443347437704,0.03518782691393248,3.6473906911142455,0.034790785143394454,7758,4,0.0014104372355430183,1806
Referral,20260409,1984,2003,76,4.294058911632551,0.038306451612903226,3.586620069895157,0.03794308537194209,7184,31,0.0029955067398901645,13655.52
Referral,20260408,1602,1626,111,8.595940959409594,0.06928838951310862,3.6801968019680196,0.06826568265682657,5984,11,0.006765067650676507,1775.9
Direct,20260428,1503,1614,1006,65.92193308550186,0.669328010645376,8.38909541511772,0.6232961586121437,13540,71,0.03965303593556382,22399.95
Direct,20260430,1486,1597,1068,73.01502817783344,0.7187079407806191,9.42391984971822,0.6687539135879774,15050,42,0.022542266750156543,10963.93
Direct,20260403,1248,1362,619,49.151982378854626,0.49599358974358976,7.391336270190895,0.4544787077826725,10067,45,0.03010279001468429,12063.41
Direct,20260401,1247,1348,709,43.676557863501486,0.5685645549318364,7.533382789317508,0.5259643916913946,10155,24,0.017062314540059347,17268.48
Direct,20260409,1247,1355,684,52.03468634686347,0.5485164394546913,7.553505535055351,0.5047970479704798,10235,49,0.02952029520295203,19110.17
Referral,20260402,1238,1261,64,4.137192704203014,0.051696284329563816,3.5051546391752577,0.05075337034099921,4420,5,0.003965107057890563,913.8
Direct,20260422,1216,1339,706,57.097834204630324,0.5805921052631579,8.096340552651233,0.5272591486183719,10841,54,0.03659447348767737,13057.28
Property WiFi    ,20260424,1207,1280,163,4.34609375,0.13504556752278377,3.18984375,0.12734375,4083,1,0.00078125,101.37
Property WiFi    ,20260410,1170,1220,164,6.600819672131148,0.14017094017094017,3.212295081967213,0.13442622950819672,3919,0,0,0
Direct,20260429,1141,1245,805,72.8008032128514,0.7055214723926381,8.73734939759036,0.6465863453815262,10878,41,0.02971887550200803,8552.54
Property WiFi    ,20260417,1121,1191,159,4.103274559193955,0.14183764495985726,3.1805205709487825,0.13350125944584382,3788,0,0,0
Direct,20260423,1103,1215,732,59.46337448559671,0.6636446056210336,8.363786008230452,0.6024691358024692,10162,41,0.03209876543209877,14587.48
Direct,20260407,1097,1212,663,60.61138613861386,0.6043755697356427,8.474422442244224,0.5470297029702971,10271,47,0.034653465346534656,16826.14
Direct,20260410,1086,1189,676,50.19259882253995,0.6224677716390423,7.531539108494533,0.5685449957947856,8955,38,0.027754415475189236,8044.8
Direct,20260408,1085,1173,627,52.93606138107417,0.5778801843317972,7.691389599317988,0.5345268542199488,9022,30,0.02216538789428815,24273.57
Direct,20260406,1059,1151,623,63.031277150304085,0.5882908404154863,8.545612510860122,0.5412684622067767,9836,101,0.035621198957428324,49574.24
Direct,20260416,1042,1138,614,56.971001757469246,0.5892514395393474,8.131810193321616,0.539543057996485,9254,41,0.03163444639718805,11904.41
Direct,20260427,1037,1160,645,55.889655172413796,0.6219864995178399,8.007758620689655,0.5560344827586207,9289,48,0.03620689655172414,12253.39
Direct,20260417,1029,1126,650,55.02309058614565,0.6316812439261419,7.967140319715808,0.5772646536412078,8971,33,0.027531083481349913,8592.4
Property WiFi    ,20260420,1027,1132,153,5.749116607773852,0.14897760467380722,3.1678445229681977,0.1351590106007067,3586,0,0,0
Property WiFi    ,20260425,1026,1083,121,4.850415512465374,0.11793372319688109,3.2197599261311174,0.11172668513388735,3487,0,0,0
Property WiFi    ,20260418,1024,1076,140,4.844795539033457,0.13671875,3.2555762081784385,0.13011152416356878,3503,0,0,0
Direct,20260413,1022,1137,698,57.79595426561126,0.6829745596868885,7.967458223394899,0.613896218117854,9059,39,0.02990325417766051,17162.41
Property WiFi    ,20260411,1016,1085,126,3.6635944700460827,0.12401574803149606,3.137327188940092,0.11612903225806452,3404,0,0,0
Direct,20260402,1013,1117,627,56.0420769919427,0.6189536031589339,8.128021486123545,0.5613249776186213,9079,47,0.03491495076096687,11119.06
Direct,20260424,1004,1129,612,54.12666076173605,0.6095617529880478,8.186891054030115,0.54207263064659,9243,47,0.03720106288751107,10196.88
Property WiFi    ,20260413,985,1080,132,3.911111111111111,0.13401015228426397,3.1351851851851853,0.12222222222222222,3386,1,0.000925925925925926,89.1
Property WiFi    ,20260423,970,1046,134,10.745697896749522,0.13814432989690723,3.120458891013384,0.12810707456978968,3264,0,0,0
Referral,20260414,969,982,72,9.090631364562118,0.07430340557275542,3.706720977596741,0.07331975560081466,3640,6,0.006109979633401222,1252.35
Referral,20260407,963,981,94,7.611620795107034,0.0976116303219107,4.036697247706422,0.09582059123343527,3960,5,0.0050968399592252805,1447.8
Property WiFi    ,20260408,952,1022,131,4.287671232876712,0.13760504201680673,3.1350293542074366,0.12818003913894324,3204,1,0.0009784735812133072,91.8
Direct,20260425,951,1061,561,48.129123468426016,0.5899053627760252,7.547596606974552,0.528746465598492,8008,27,0.02544769085768143,8270.51
Direct,20260421,941,1048,602,51.24141221374046,0.6397449521785334,7.877862595419847,0.5744274809160306,8256,46,0.03816793893129771,15162.11
Direct,20260415,939,1034,610,58.07253384912959,0.6496272630457934,8.375241779497099,0.5899419729206963,8660,30,0.025145067698259187,9499.21
Property WiFi    ,20260409,936,1006,114,4.723658051689861,0.12179487179487179,3.194831013916501,0.11332007952286283,3214,1,0.0009940357852882703,248
Direct,20260420,930,1033,604,57.521781219748306,0.6494623655913978,8.191674733785092,0.5847047434656341,8462,74,0.03291384317521781,25639.69
Direct,20260426,926,1022,582,57.02446183953033,0.6285097192224622,8.071428571428571,0.5694716242661448,8249,34,0.030332681017612523,8939.9
Referral,20260403,923,941,61,7.97874601487779,0.06608884073672806,3.5664187035069075,0.06482465462274177,3356,4,0.004250797024442083,1651.77
Property WiFi    ,20260406,922,1015,128,3.9320197044334977,0.13882863340563992,3.115270935960591,0.12610837438423644,3162,0,0,0
Property WiFi    ,20260427,921,1029,143,7.060252672497571,0.15526601520086863,3.257531584062196,0.13896987366375121,3352,0,0,0
Direct,20260411,913,1015,595,57.278817733990145,0.651697699890471,7.992118226600986,0.5862068965517241,8112,29,0.026600985221674877,5895.1
Referral,20260415,909,938,82,10.663113006396589,0.09020902090209021,3.784648187633262,0.08742004264392324,3550,7,0.006396588486140725,5566.25
Referral,20260416,906,916,61,4.939956331877729,0.0673289183222958,3.574235807860262,0.0665938864628821,3274,3,0.0032751091703056767,780.92
Property WiFi    ,20260403,905,958,103,3.512526096033403,0.1138121546961326,3.1889352818371606,0.10751565762004175,3055,0,0,0
Direct,20260414,903,1003,610,60.66101694915254,0.6755260243632336,8.455633100697906,0.6081754735792622,8481,44,0.03489531405782652,10943.59
Property WiFi    ,20260428,885,981,136,6.98776758409786,0.1536723163841808,3.2334352701325177,0.13863404689092762,3172,0,0,0
Direct,20260419,879,991,586,59.699293642785065,0.6666666666666666,8.249243188698285,0.591321897073663,8175,35,0.030272452068617558,9813.96
Property WiFi    ,20260415,862,947,120,4.929250263991552,0.13921113689095127,3.1457233368532207,0.12671594508975711,2979,0,0,0
Property WiFi    ,20260419,862,921,133,5.167209554831705,0.154292343387471,3.197611292073833,0.1444082519001086,2945,0,0,0
Direct,20260412,859,956,509,51.52824267782427,0.5925494761350407,7.701882845188284,0.5324267782426778,7363,32,0.030334728033472803,9602.49
Property WiFi    ,20260414,859,927,124,3.381877022653722,0.14435389988358557,3.180151024811219,0.133764832793959,2948,0,0,0
Property WiFi    ,20260412,857,931,100,5.17937701396348,0.11668611435239207,3.2062298603651986,0.10741138560687433,2985,2,0.0021482277121374865,595
Property WiFi    ,20260422,855,928,133,5.229525862068965,0.15555555555555556,3.1724137931034484,0.14331896551724138,2944,0,0,0
Property WiFi    ,20260426,853,922,122,4.982646420824295,0.14302461899179367,3.2830802603036875,0.13232104121475055,3027,0,0,0
Property WiFi    ,20260401,852,916,109,3.9312227074235806,0.12793427230046947,3.1724890829694323,0.11899563318777293,2906,0,0,0
Property WiFi    ,20260430,850,926,110,6.79913606911447,0.12941176470588237,3.1576673866090714,0.11879049676025918,2924,0,0,0
Property WiFi    ,20260402,845,912,103,4.630482456140351,0.12189349112426036,3.1633771929824563,0.11293859649122807,2885,1,0.0010964912280701754,89.1
Direct,20260405,839,912,513,55.11074561403509,0.6114421930870083,8.508771929824562,0.5625,7760,40,0.03289473684210526,19179.75
Property WiFi    ,20260421,839,909,136,4.346534653465347,0.16209773539928488,3.1826182618261827,0.1496149614961496,2893,0,0,0
Property WiFi    ,20260429,827,908,133,6.299559471365638,0.1608222490931076,3.2444933920704844,0.14647577092511013,2946,1,0.0011013215859030838,116.1
Property WiFi    ,20260404,825,866,95,3.8337182448036953,0.11515151515151516,3.1697459584295613,0.10969976905311778,2745,0,0,0
Direct,20260418,820,906,548,58.652317880794705,0.6682926829268293,8.009933774834437,0.6048565121412803,7257,41,0.04194260485651214,15650.12
Property WiFi    ,20260407,805,887,111,3.956031567080045,0.13788819875776398,3.153325817361894,0.12514092446448705,2797,1,0.0011273957158962795,98.1
Property WiFi    ,20260416,805,873,124,6.576174112256586,0.15403726708074533,3.2783505154639174,0.1420389461626575,2862,0,0,0
Referral,20260413,794,820,85,9.598780487804879,0.1070528967254408,3.9158536585365855,0.10365853658536585,3211,16,0.014634146341463415,4890.05
Direct,20260404,786,867,511,57.621683967704726,0.6501272264631043,8.57439446366782,0.5893886966551326,7434,33,0.031141868512110725,8150.25
Referral,20260417,786,811,64,9.839704069050555,0.08142493638676845,3.903822441430333,0.07891491985203453,3166,8,0.008631319358816275,1832.2
