Partner,Clicks,Actions,Revenue,Action Cost,Total Cost,CPC
Capital One,215,50,41843.6800,2092.2300,2092.2300,9.73130233
Brandreward  Coupons,345,26,10871.2400,543.5700,543.5700,1.57556522
"Ebates Performance Marketing, Inc. dba Rakuten Rewards",177,12,2675.0400,133.7600,133.7600,0.75570621
First Alliance Limited,31,11,2236.6800,111.8400,111.8400,3.60774194
Sovrn Commerce,528,11,1765.9200,88.3000,88.3000,0.16723485
Perna Marketing,180,8,2913.4800,145.6800,145.6800,0.80933333
Skimbit Ltd.,167,6,1600.6500,80.0300,80.0300,0.47922156
Kivo Media LLC,3,3,1016.2000,50.8100,50.8100,16.93666667
FatCoupon Technology Ltd,43,3,683.0000,34.1500,34.1500,0.79418605
Refermate LLC,26,3,598.5000,29.9300,29.9300,1.15115385
Honey Science Corporation.,42,1,1485.0000,74.2500,74.2500,1.76785714
Muchila Holdings Ltd.,98,1,271.0000,13.5500,13.5500,0.13826531
AMACAffiliates,315,1,183.7500,9.1900,9.1900,0.02917460
Pickalink INC,34,1,172.0000,8.6000,8.6000,0.25294118
Brandreward Display,50,0,0.0000,0.0000,0.0000,0.00000000
eclicklink,49,0,0.0000,0.0000,0.0000,0.00000000
CollabGlow,27,0,0.0000,0.0000,0.0000,0.00000000
ESSENCESLY LTD,12,0,0.0000,0.0000,0.0000,0.00000000
Skimlinks Rewards sites,9,0,0.0000,0.0000,0.0000,0.00000000
Famesta,7,0,0.0000,0.0000,0.0000,0.00000000
CouponClans,4,0,0.0000,0.0000,0.0000,0.00000000
tenereno1,3,0,0.0000,0.0000,0.0000,0.00000000
Refbackbonus,3,0,0.0000,0.0000,0.0000,0.00000000
S. N. TECHNOLOGIES,3,0,0.0000,0.0000,0.0000,0.00000000
Discountsarena LTD,2,0,0.0000,0.0000,0.0000,0.00000000
SaleGains,2,0,0.0000,0.0000,0.0000,0.00000000
commissionzen,2,0,0.0000,0.0000,0.0000,0.00000000
Extrabux,1,0,0.0000,0.0000,0.0000,0.00000000
SCAN AND GO LIMITED,1,0,0.0000,0.0000,0.0000,0.00000000
Simplycodes,1,0,0.0000,0.0000,0.0000,0.00000000
Mylifecation,1,0,0.0000,0.0000,0.0000,0.00000000
JoinGekko.com,1,0,0.0000,0.0000,0.0000,0.00000000
Fiidom,1,0,0.0000,0.0000,0.0000,0.00000000
Mimoni,1,0,0.0000,0.0000,0.0000,0.00000000
EDLOOK LTD,1,0,0.0000,0.0000,0.0000,0.00000000
CouponCabin,0,0,0.0000,0.0000,0.0000,0
Coupon Reals,0,0,0.0000,0.0000,0.0000,0
Qurat ul Ain Abbas,0,0,0.0000,0.0000,0.0000,0
