Partner,Clicks,Actions,Revenue,Action Cost,Total Cost,CPC
Capital One,200,40,9925.3600,496.3000,496.3000,2.48150000
S. N. TECHNOLOGIES,2931,6,1470.6900,73.5400,73.5400,0.02509041
Sovrn Commerce,519,5,1284.0800,64.2100,64.2100,0.12371869
CollabGlow,3068,5,659.7900,32.9900,32.9900,0.01075293
Honey Science Corporation.,48,3,1681.4700,84.0700,84.0700,1.75145833
Skimbit Ltd.,102,3,803.7100,40.1800,40.1800,0.39392157
FatCoupon Technology Ltd,58,3,435.5900,21.7800,21.7800,0.37551724
Muchila Holdings Ltd.,102,2,656.5200,32.8300,32.8300,0.32186275
Brandreward  Coupons,8,2,333.9800,16.7000,16.7000,2.08750000
Rajat Kuls,93,1,279.2000,13.9600,13.9600,0.15010753
Kupondi,2,1,98.1000,4.9100,4.9100,2.45500000
tenereno1,21,1,82.8000,4.1400,4.1400,0.19714286
AMACAffiliates,235,0,0.0000,0.0000,0.0000,0.00000000
Famesta,15,0,0.0000,0.0000,0.0000,0.00000000
shoneright.com,5,0,0.0000,0.0000,0.0000,0.00000000
Mavely,3,0,0.0000,0.0000,0.0000,0.00000000
Pickalink INC,3,0,0.0000,0.0000,0.0000,0.00000000
Extrabux,2,0,0.0000,0.0000,0.0000,0.00000000
Discountsarena LTD,2,0,0.0000,0.0000,0.0000,0.00000000
Coupon Reals,2,0,0.0000,0.0000,0.0000,0.00000000
Mylifecation,2,0,0.0000,0.0000,0.0000,0.00000000
Circle Fitness GmbH,2,0,0.0000,0.0000,0.0000,0.00000000
SCAN AND GO LIMITED,1,0,0.0000,0.0000,0.0000,0.00000000
Simplycodes,1,0,0.0000,0.0000,0.0000,0.00000000
Qurat ul Ain Abbas,1,0,0.0000,0.0000,0.0000,0.00000000
Kivo Media LLC,1,0,0.0000,0.0000,0.0000,0.00000000
CouponCabin,0,0,0.0000,0.0000,0.0000,0
TryCoupon,0,0,0.0000,0.0000,0.0000,0
Buymedeal,0,0,0.0000,0.0000,0.0000,0
Ecomnia - Partner Growth Program,0,0,0.0000,0.0000,0.0000,0
JoinGekko.com,0,0,0.0000,0.0000,0.0000,0
advanced store,0,0,0.0000,0.0000,0.0000,0
Creatorflare.com,0,0,0.0000,0.0000,0.0000,0
Brandreward Display,0,0,0.0000,0.0000,0.0000,0
