Partner,Clicks,Actions,Revenue,Action Cost,Total Cost,CPC
Capital One,224,39,19019.3800,950.9900,950.9900,4.24549107
Brandreward  Coupons,200,13,5652.5700,282.6500,282.6500,1.41325000
Sovrn Commerce,511,7,1206.4000,60.3300,60.3300,0.11806262
FatCoupon Technology Ltd,108,5,1222.2700,61.1200,61.1200,0.56592593
Skimbit Ltd.,191,4,664.3600,33.2300,33.2300,0.17397906
CollabGlow,10818,3,479.5000,23.9800,23.9800,0.00221668
Muchila Holdings Ltd.,76,3,259.8900,13.0000,13.0000,0.17105263
Pickalink INC,14,2,537.0000,26.8500,26.8500,1.91785714
Rajat Kuls,148,2,287.8500,14.3900,14.3900,0.09722973
Honey Science Corporation.,27,1,199.0000,9.9500,9.9500,0.36851852
AMACAffiliates,236,0,0.0000,0.0000,0.0000,0.00000000
Brandreward Display,82,0,0.0000,0.0000,0.0000,0.00000000
S. N. TECHNOLOGIES,56,0,0.0000,0.0000,0.0000,0.00000000
tenereno1,13,0,0.0000,0.0000,0.0000,0.00000000
Famesta,11,0,0.0000,0.0000,0.0000,0.00000000
FMTC,6,0,0.0000,0.0000,0.0000,0.00000000
commissionzen,5,0,0.0000,0.0000,0.0000,0.00000000
Simplycodes,3,0,0.0000,0.0000,0.0000,0.00000000
Skimlinks Rewards sites,3,0,0.0000,0.0000,0.0000,0.00000000
Extrabux,2,0,0.0000,0.0000,0.0000,0.00000000
Mavely,2,0,0.0000,0.0000,0.0000,0.00000000
Refermate LLC,2,0,0.0000,0.0000,0.0000,0.00000000
SCAN AND GO LIMITED,1,0,0.0000,0.0000,0.0000,0.00000000
Discountsarena LTD,1,0,0.0000,0.0000,0.0000,0.00000000
Mylifecation,1,0,0.0000,0.0000,0.0000,0.00000000
Refbackbonus,1,0,0.0000,0.0000,0.0000,0.00000000
LinkMonetize Influencer Creator,1,0,0.0000,0.0000,0.0000,0.00000000
Ecomnia - Partner Growth Program,1,0,0.0000,0.0000,0.0000,0.00000000
JoinGekko.com,1,0,0.0000,0.0000,0.0000,0.00000000
Trendythreads1,1,0,0.0000,0.0000,0.0000,0.00000000
Mimoni,1,0,0.0000,0.0000,0.0000,0.00000000
quk.com,1,0,0.0000,0.0000,0.0000,0.00000000
Kivo Media LLC,1,0,0.0000,0.0000,0.0000,0.00000000
CouponCabin,0,0,0.0000,0.0000,0.0000,0
CouponClans,0,0,0.0000,0.0000,0.0000,0
Coupon Reals,0,0,0.0000,0.0000,0.0000,0
shoneright.com,0,0,0.0000,0.0000,0.0000,0
Mujtaba Naqvi,0,0,0.0000,0.0000,0.0000,0
Creatorflare.com,0,0,0.0000,0.0000,0.0000,0
