Partner,Clicks,Actions,Revenue,Action Cost,Total Cost,CPC
Capital One,191,43,13427.2700,893.8800,893.8800,4.68000000
Sovrn Commerce,232,10,2281.4200,114.0700,114.0700,0.49168103
Skimbit Ltd.,128,5,1669.4700,83.4800,83.4800,0.65218750
Muchila Holdings Ltd.,50,4,788.0000,39.4000,39.4000,0.78800000
Honey Science Corporation.,41,2,437.0000,21.8500,21.8500,0.53292683
FatCoupon Technology Ltd,13,1,638.0000,31.9000,31.9000,2.45384615
CouponCabin,7,1,518.0000,25.9000,25.9000,3.70000000
Famesta,7,1,219.6000,10.9800,10.9800,1.56857143
commissionzen,24,0,0.0000,0.0000,0.0000,0.00000000
Blogfiliates,15,0,0.0000,0.0000,0.0000,0.00000000
S. N. TECHNOLOGIES,11,0,0.0000,0.0000,0.0000,0.00000000
shoneright.com,10,0,0.0000,0.0000,0.0000,0.00000000
Brandreward  Coupons,7,0,0.0000,0.0000,0.0000,0.00000000
tenereno1,7,0,0.0000,0.0000,0.0000,0.00000000
Discountsarena LTD,5,0,0.0000,0.0000,0.0000,0.00000000
Mylifecation,3,0,0.0000,0.0000,0.0000,0.00000000
Coupon Reals,2,0,0.0000,0.0000,0.0000,0.00000000
STELLIO LTD,2,0,0.0000,0.0000,0.0000,0.00000000
Qurat ul Ain Abbas,2,0,0.0000,0.0000,0.0000,0.00000000
Extrabux,1,0,0.0000,0.0000,0.0000,0.00000000
Smarttfix,1,0,0.0000,0.0000,0.0000,0.00000000
CouponClans,1,0,0.0000,0.0000,0.0000,0.00000000
Buymedeal,1,0,0.0000,0.0000,0.0000,0.00000000
EDLOOK,1,0,0.0000,0.0000,0.0000,0.00000000
FreshReach,1,0,0.0000,0.0000,0.0000,0.00000000
Simplycodes,0,0,0.0000,0.0000,0.0000,0
advanced store,0,0,0.0000,0.0000,0.0000,0
