Partner,Clicks,Actions,Revenue,Action Cost,Total Cost,CPC
Capital One,24,7,966.3900,48.3300,48.3300,2.01375000
Skimbit Ltd.,142,6,1206.8400,60.3500,60.3500,0.42500000
Sovrn Commerce,203,4,1159.2700,57.9600,57.9600,0.28551724
Honey Science Corporation.,24,2,876.1000,43.8100,43.8100,1.82541667
FatCoupon Technology Ltd,21,2,344.9000,17.2500,17.2500,0.82142857
Muchila Holdings Ltd.,21,2,237.1400,11.8600,11.8600,0.56476190
commissionzen,23,0,0.0000,0.0000,0.0000,0.00000000
shoneright.com,11,0,0.0000,0.0000,0.0000,0.00000000
FMTC,8,0,0.0000,0.0000,0.0000,0.00000000
Famesta,8,0,0.0000,0.0000,0.0000,0.00000000
tenereno1,7,0,0.0000,0.0000,0.0000,0.00000000
Smarttfix,5,0,0.0000,0.0000,0.0000,0.00000000
Blogfiliates,5,0,0.0000,0.0000,0.0000,0.00000000
Mylifecation,5,0,0.0000,0.0000,0.0000,0.00000000
CouponCabin,4,0,0.0000,0.0000,0.0000,0.00000000
Discountsarena LTD,3,0,0.0000,0.0000,0.0000,0.00000000
Coupon Reals,3,0,0.0000,0.0000,0.0000,0.00000000
Buymedeal,2,0,0.0000,0.0000,0.0000,0.00000000
advanced store,2,0,0.0000,0.0000,0.0000,0.00000000
OCEANSHINY LTD,2,0,0.0000,0.0000,0.0000,0.00000000
Mavely,1,0,0.0000,0.0000,0.0000,0.00000000
Daily Reviews,1,0,0.0000,0.0000,0.0000,0.00000000
Brandreward  Coupons,1,0,0.0000,0.0000,0.0000,0.00000000
Rewards Bunny Pte Ltd,1,0,0.0000,0.0000,0.0000,0.00000000
Karma Shopping,1,0,0.0000,0.0000,0.0000,0.00000000
OCEANSHINY LTD,1,0,0.0000,0.0000,0.0000,0.00000000
Extrabux,0,0,0.0000,0.0000,0.0000,0
Key2roi,0,0,0.0000,0.0000,0.0000,0
SaleGains,0,0,0.0000,0.0000,0.0000,0
